"molecule_chembl_id","canonical_smiles","standard_type","standard_value","standard_units","kinase_name"
"CHEMBL429345","Nc1nc(O)c2c(n1)NCC(CCOc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2","IC50","0.20000000298","ug.mL-1","Enterococcus faecium"
"CHEMBL429345","Nc1nc(O)c2c(n1)NCC(CCOc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2","IC50","0.056000001729","ug.mL-1","Lacticaseibacillus casei"
"CHEMBL429345","Nc1nc(O)c2c(n1)NCC(CCOc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2","IC50","0.06400000304","ug.mL-1","Lacticaseibacillus casei"
"CHEMBL415997","Cn1cnc2c1C(=O)N1CCN=C1N2Cc1ccc(Cl)cc1","IC50","2.900000095367","ug.mL-1","Cavia porcellus"
"CHEMBL305153","CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21","IC50","29.39999961853","nM","Beta-1 adrenergic receptor"
"CHEMBL305153","CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21","IC50","30.79999923706","nM","Beta-2 adrenergic receptor"
"CHEMBL156707","O=C(O)c1cnc2cc(OCCOc3ccc4ccccc4c3)ccc2c1O","IC50","1584.890014648","nM","Malate dehydrogenase mitochondrial"
"CHEMBL279087","CCOC(=O)c1cn2c(n1)sc1ccccc12","IC50","120","nM","GABA-A receptor; anion channel"
"CHEMBL279969","CCSc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCC2","IC50","1850","nM","GABA-A receptor; anion channel"
"CHEMBL20214","CCCc1c(OC)nc2nc(C(=O)c3ccccc3)cn2c1CC","IC50","34","nM","GABA-A receptor; anion channel"
"CHEMBL277617","CCc1c(OC)nc2nc(C(=O)c3ccccc3)cn2c1CC","IC50","107","nM","GABA-A receptor; anion channel"
"CHEMBL3350133","CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](NC(=O)CNC(=O)CCC(=O)NCC(=O)N[C@H]2CC[C@@]4(O)[C@H]6Cc7ccc(O)c8c7[C@@]4(CCN6C)[C@H]2O8)CC[C@@]3(O)[C@H]1C5","IC50","22","nM","Opioid receptors; mu & kappa"
"CHEMBL15886","CC[N+](C)(CC)CC(=O)CCN1C(=O)CCC1=O.[I-]","IC50","100000","nM","Acetylcholinesterase"
"CHEMBL15886","CC[N+](C)(CC)CC(=O)CCN1C(=O)CCC1=O.[I-]","IC50","170000","nM","Acetylcholinesterase"
"CHEMBL1202755","CC(CCCc1cccnc1)NC(=O)c1ccc2nc3ccc(C(C)C)cc3c(=O)n2c1.Cl.Cl","IC50","8000","nM","Cavia porcellus"
"CHEMBL1202755","CC(CCCc1cccnc1)NC(=O)c1ccc2nc3ccc(C(C)C)cc3c(=O)n2c1.Cl.Cl","IC50","1000","nM","Thromboxane-A synthase"
"CHEMBL542565","Cl.NCCn1nc2c3c(c(NCCCNCCO)ccc31)C(=O)c1c(O)ccc(O)c1-2","IC50","870","nM","L1210"
"CHEMBL543512","CN(C)CCNCCNc1ccc2c3c(nn2CCN)-c2c(O)ccc(O)c2C(=O)c13.Cl","IC50","930","nM","L1210"
"CHEMBL23228","CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(C)c1O","IC50","19","nM","Dopamine D2 receptor"
"CHEMBL21222","COc1cc2nc(C(=O)c3ccccc3)cn2c2ccc(C(C)C)cc12","IC50","10","nM","GABA-A receptor; anion channel"
"CHEMBL21087","CC(C)OC(=O)c1cn2c(n1)sc1ccccc12","IC50","160","nM","GABA-A receptor; anion channel"
"CHEMBL296346","S=C(NCN1CCOCC1)Nc1ccc(Br)cn1","IC50","10000","nM","Human immunodeficiency virus type 1 reverse transcriptase"
"CHEMBL296346","S=C(NCN1CCOCC1)Nc1ccc(Br)cn1","IC50","3800","nM","ADMET"
"CHEMBL296346","S=C(NCN1CCOCC1)Nc1ccc(Br)cn1","IC50","1000","nM","ADMET"
"CHEMBL296346","S=C(NCN1CCOCC1)Nc1ccc(Br)cn1","IC50",\N,"nM","ADMET"
"CHEMBL129","Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O","IC50","4","nM","ADMET"
"CHEMBL129","Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O","IC50","150","nM","ADMET"
"CHEMBL129","Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O","IC50","6","nM","ADMET"
"CHEMBL129","Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O","IC50",\N,"nM","Human immunodeficiency virus type 1 reverse transcriptase"
"CHEMBL303519","c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1","IC50","9800","nM","Dopamine D2 receptor"
"CHEMBL303519","c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1","IC50","5600","nM","Dopamine D3 receptor"
"CHEMBL303519","c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1","IC50","20","nM","Dopamine D4 receptor"
"CHEMBL303519","c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1","IC50","10000","nM","Serotonin 1a (5-HT1a) receptor"
"CHEMBL122071","CC(=O)O[C@@H]1CC(=O)N1C(=O)NC(C)C","IC50","100000","nM","Human herpes virus 5 capsid protein P40"
"CHEMBL48946","COc1cc(OC)c(NC(=O)N(c2ccccc2)c2nnn(CCCCCCCCOC3CCCCO3)n2)c(OC)c1","IC50","41","nM","Acyl coenzyme A:cholesterol acyltransferase 1"
"CHEMBL415967","O=P(O)(O)C(Cc1ccc2ccccc2c1)N[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1","IC50","45","nM","Endothelin-converting enzyme 1"
"CHEMBL415967","O=P(O)(O)C(Cc1ccc2ccccc2c1)N[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1","IC50","6.900000095367","nM","Neprilysin"
"CHEMBL50381","COc1ccc(-c2nc(SCCCCCN(CCCn3ccnc3)C(=O)NC(C)C)[nH]c2-c2ccc(OC)cc2)cc1","IC50",\N,"nM","Acyl coenzyme A:cholesterol acyltransferase 1"
"CHEMBL50381","COc1ccc(-c2nc(SCCCCCN(CCCn3ccnc3)C(=O)NC(C)C)[nH]c2-c2ccc(OC)cc2)cc1","IC50","5500","nM","Acyl coenzyme A:cholesterol acyltransferase 1"
"CHEMBL431940","CN(C)c1ccc(-c2nc(SCCCCCN(CCCCCSc3nc(-c4ccccc4)c(-c4ccccc4)[nH]3)C(=O)Nc3ccc(F)cc3F)[nH]c2-c2ccc(N(C)C)cc2)cc1","IC50","3","nM","Acyl coenzyme A:cholesterol acyltransferase 1"
"CHEMBL431940","CN(C)c1ccc(-c2nc(SCCCCCN(CCCCCSc3nc(-c4ccccc4)c(-c4ccccc4)[nH]3)C(=O)Nc3ccc(F)cc3F)[nH]c2-c2ccc(N(C)C)cc2)cc1","IC50","450","nM","Acyl coenzyme A:cholesterol acyltransferase 1"
"CHEMBL140442","COC(=O)CC[C@H](CCO)C[C@@H](C)[C@@H]1CC(=O)[C@H](C)/C=C(\\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C(\\C)[C@@H](OC)C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O1","IC50","3.400000095367","nM","FK506-binding protein 1A"
"CHEMBL140442","COC(=O)CC[C@H](CCO)C[C@@H](C)[C@@H]1CC(=O)[C@H](C)/C=C(\\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C(\\C)[C@@H](OC)C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O1","IC50","200","nM","Unchecked"
"CHEMBL140442","COC(=O)CC[C@H](CCO)C[C@@H](C)[C@@H]1CC(=O)[C@H](C)/C=C(\\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C(\\C)[C@@H](OC)C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O1","IC50","380","nM","Unchecked"
"CHEMBL117716","N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccc3ccccc3n2)NS(=O)(=O)Cc2ccccc2)C1O","IC50","44.40000152588","nM","Coagulation factor X"
"CHEMBL117716","N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccc3ccccc3n2)NS(=O)(=O)Cc2ccccc2)C1O","IC50","1270","nM","Thrombin"
"CHEMBL117716","N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccc3ccccc3n2)NS(=O)(=O)Cc2ccccc2)C1O","IC50","1440","nM","Plasminogen"
"CHEMBL117716","N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccc3ccccc3n2)NS(=O)(=O)Cc2ccccc2)C1O","IC50","59.20000076294","nM","Trypsin I"
"CHEMBL345415","C/C(C#Cc1ccccc1)=C/CO/N=C1/CN2CCC1C2","IC50","181","nM","Muscarinic acetylcholine receptor"
"CHEMBL345415","C/C(C#Cc1ccccc1)=C/CO/N=C1/CN2CCC1C2","IC50","1.070000052452","nM","Muscarinic acetylcholine receptor"
"CHEMBL326085","COc1cc(C)cc2c1Oc1ccc([C@H](CC(C)C)OC(C)=O)c(OC)c1C(=O)OC2","IC50","21000","nM","Oxytocin receptor"
"CHEMBL326085","COc1cc(C)cc2c1Oc1ccc([C@H](CC(C)C)OC(C)=O)c(OC)c1C(=O)OC2","IC50","100000","nM","Vasopressin V2 receptor"
"CHEMBL54768","CCc1ccc(CC[C@@H]2CCC(C)(C)[C@H](OC)[C@H]2Cn2cncn2)cc1","IC50","0.009999999776","ug.mL-1","Cytochrome P450 51"
"CHEMBL290133","CCc1cccn1C1=CC(C)(C)Oc2ccc(C#N)cc21","IC50","20000","nM","Cavia porcellus"
"CHEMBL296415","COC(=O)c1c(C(F)(F)F)[nH]c2c1C13CC1CN(C(=O)c1cc4cc(NC(=O)c5cc6ccccc6[nH]5)ccc4[nH]1)C3=CC2=O","IC50","8.59999971e-4","ug.mL-1","P388"
"CHEMBL9650","CCC(C)[C@H](NC(=O)[C@@H]1CCCN1[P@@](=O)(OC)[C@@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OC(C)(C)C)C(=O)NCC(C)C","IC50","30","ug.mL-1","Human immunodeficiency virus type 1 protease"
"CHEMBL273396","CCC(C)[C@H](NC(=O)[C@@H]1CCCN1[P@@](=O)(OC)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OC(C)(C)C)C(=O)NCC(C)C","IC50","93","ug.mL-1","Human immunodeficiency virus type 1 protease"
"CHEMBL79591","COc1cc2c(cc1O)CCCc1cc(OC)c(OC)c(OC)c1-2","IC50","5300","nM","Tubulin"
"CHEMBL86971","CCN(C(C)C)S(=O)(=O)CC[C@@H]1O[C@@H]1[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)(C)S(C)(=O)=O","IC50","10.89999961853","nM","H9"
"CHEMBL312911","CC(C)C(NC(=O)C[C@@H]1O[C@@H]1[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1)C(C)C","IC50","20","nM","H9"
"CHEMBL78855","CSCC[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)CS)C(C)C)C(=O)O","IC50","5200","nM","Protein farnesyltransferase"
"CHEMBL312763","O=C(O)COc1c(F)cc(SCCNS(=O)(=O)c2ccc(Cl)cc2)cc1F","IC50","340","nM","Oryctolagus cuniculus"
"CHEMBL76526","COc1ccc(-c2cc(Oc3ccc([N+](=O)[O-])cc3)nnc2-c2ccc(OC)cc2)cc1","IC50","630","nM","HL-60"
"CHEMBL302455","Cc1cc(COc2ccc(N3CC[C@H]([C@H](NC(=O)c4ccccc4)C(=O)NO)C3=O)cc2)c2ccccc2n1","IC50","1","nM","ADAM17"
"CHEMBL302455","Cc1cc(COc2ccc(N3CC[C@H]([C@H](NC(=O)c4ccccc4)C(=O)NO)C3=O)cc2)c2ccccc2n1","IC50","9100","nM","ADAM17"
"CHEMBL60373","COC(=O)N[C@H](C(=O)NO)[C@H]1CCN(c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1=O","IC50","1","nM","ADAM17"
"CHEMBL60373","COC(=O)N[C@H](C(=O)NO)[C@H]1CCN(c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1=O","IC50","2650","nM","ADAM17"
"CHEMBL79902","COc1ccc2c(Cc3c(Cl)c[n+]([O-])cc3Cl)nnc(-c3nccs3)c2c1","IC50","4","nM","Phosphodiesterase 4"
"CHEMBL79902","COc1ccc2c(Cc3c(Cl)c[n+]([O-])cc3Cl)nnc(-c3nccs3)c2c1","IC50","3.980999946594","nM","Phosphodiesterase 4"
"CHEMBL421343","COc1ccc2c(c1OC1CCCC1)CN(C(C)=O)N=C2Cc1c(Cl)cncc1Cl","IC50","30","nM","Phosphodiesterase 4"
"CHEMBL421343","COc1ccc2c(c1OC1CCCC1)CN(C(C)=O)N=C2Cc1c(Cl)cncc1Cl","IC50","30.20000076294","nM","Phosphodiesterase 4"
"CHEMBL82934","COc1ccc2c(c1)CN(C(N)=O)N=C2Cc1c(Cl)cncc1Cl","IC50","36","nM","Phosphodiesterase 4"
"CHEMBL82934","COc1ccc2c(c1)CN(C(N)=O)N=C2Cc1c(Cl)cncc1Cl","IC50","36.31000137329","nM","Phosphodiesterase 4"
"CHEMBL111217","CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F)=C\\C(=O)O","IC50","6.800000190735","nM","Retinoid X receptor alpha"
"CHEMBL285848","CCCC[C@@H](C)/C=C(C)/C=C(\\C)C(=O)NC1=C[C@@](O)(/C=C/C=C/C=C/C(=O)NC2=C(O)CCC2=O)[C@@H]2O[C@@H]2C1=O","IC50","11900","nM","Protein farnesyltransferase"
"CHEMBL342713","O=C(NO)[C@H]1CCC[C@@H]1C(=O)Nc1ccc(OCc2ccccc2)cc1","IC50","110","nM","ADAM17"
"CHEMBL342713","O=C(NO)[C@H]1CCC[C@@H]1C(=O)Nc1ccc(OCc2ccccc2)cc1","IC50","50000","nM","Homo sapiens"
"CHEMBL68920","Cc1cc(C)c(/C=C2\\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1","IC50","41","nM","Epidermal growth factor receptor erbB1"
"CHEMBL68920","Cc1cc(C)c(/C=C2\\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1","IC50","100000","nM","Platelet-derived growth factor receptor beta"
"CHEMBL68920","Cc1cc(C)c(/C=C2\\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1","IC50","16500","nM","Vascular endothelial growth factor receptor 2"
"CHEMBL68920","Cc1cc(C)c(/C=C2\\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1","IC50","300","nM","Epidermal growth factor receptor erbB1"
"CHEMBL68920","Cc1cc(C)c(/C=C2\\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1","IC50","300","nM","Receptor protein-tyrosine kinase erbB-2"
"CHEMBL68920","Cc1cc(C)c(/C=C2\\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1","IC50","7820","nM","Epidermal growth factor receptor erbB1"
"CHEMBL68920","Cc1cc(C)c(/C=C2\\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1","IC50","2500","nM","Receptor protein-tyrosine kinase erbB-2"
"CHEMBL69960","Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21","IC50","170","nM","Epidermal growth factor receptor erbB1"
"CHEMBL69960","Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21","IC50","20000","nM","Platelet-derived growth factor receptor beta"
"CHEMBL69960","Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21","IC50","20000","nM","Vascular endothelial growth factor receptor 2"
"CHEMBL69960","Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21","IC50","40","nM","Epidermal growth factor receptor erbB1"
"CHEMBL69960","Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21","IC50","400","nM","Receptor protein-tyrosine kinase erbB-2"
"CHEMBL69960","Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21","IC50","440","nM","Epidermal growth factor receptor erbB1"
"CHEMBL69960","Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21","IC50","1210","nM","Receptor protein-tyrosine kinase erbB-2"
"CHEMBL27759","Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1","IC50","5400","nM","HCT-116"
"CHEMBL300266","CN(CCCN(C)S(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1)S(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1","IC50","6000","nM","Vascular cell adhesion protein 1"
"CHEMBL174142","CC(C)c1cc(CN2CCOCC2)cc(C(C)C)c1","IC50","30000","nM","GABA-A receptor; anion channel"
"CHEMBL330643","CC(C)(C)c1ccc(Cn2c(=N)n(CC(=O)c3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c3ccccc32)cc1","IC50","734","nM","Proteinase-activated receptor 1"
"CHEMBL446612","CC(C)C[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O","IC50","227000","nM","Glutathionylspermidine synthase"
"CHEMBL76383",\N,"IC50","73500","nM","Plasmodium falciparum"
"CHEMBL170335","C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(O)[C@]2(O)[C@@]2(C)CCCC(C)(C)C12","IC50","65000","nM","Endothelin receptor ET-A"
"CHEMBL170335","C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(O)[C@]2(O)[C@@]2(C)CCCC(C)(C)C12","IC50","21000","nM","Endothelin receptor ET-B"
"CHEMBL170335","C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(O)[C@]2(O)[C@@]2(C)CCCC(C)(C)C12","IC50","62000","nM","Endothelin receptor ET-A"
"CHEMBL170335","C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(O)[C@]2(O)[C@@]2(C)CCCC(C)(C)C12","IC50","41000","nM","Endothelin receptor ET-B"
"CHEMBL69638","Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1","IC50","140","nM","Tyrosine-protein kinase LCK"
"CHEMBL69638","Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1","IC50","1180","nM","Tyrosine-protein kinase LCK"
"CHEMBL69638","Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1","IC50","1200","nM","Tyrosine-protein kinase LCK"
"CHEMBL69638","Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1","IC50","10000","nM","Tyrosine-protein kinase LCK"
"CHEMBL69638","Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1","IC50","1000","nM","Tyrosine-protein kinase SRC"
"CHEMBL69638","Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1","IC50","7100","nM","Vascular endothelial growth factor receptor 2"
"CHEMBL69638","Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1","IC50","3400","nM","Tyrosine-protein kinase TIE-2"
"CHEMBL75193","Cc1cc(C(=O)Nc2cc(Cl)cc(Cl)c2)nn1-c1ccccc1","IC50","759","nM","Neuropeptide Y receptor type 5"
"CHEMBL73378","COc1cccc(-n2nc(C(=O)Nc3cc(Cl)cc(Cl)c3)cc2C)c1","IC50","1000","nM","Neuropeptide Y receptor type 5"
"CHEMBL65614","CCOC(=O)c1cn(Cc2c(F)cccc2F)c2nc(-c3ccc(NC(=O)C4CC4)cc3)c(CN(C)Cc3ccccc3)n2c1=O","IC50","5","nM","Gonadotropin-releasing hormone receptor"
"CHEMBL292773","C=CC(=O)Nc1ccc(-c2nc3n(Cc4c(F)cccc4F)cc(C(=O)OCC)c(=O)n3c2CN(C)Cc2ccccc2)cc1","IC50","3","nM","Gonadotropin-releasing hormone receptor"
"CHEMBL443325","CNCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N1C[C@@H]2C[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O)CSSC[C@H](C(=O)N[C@H](Cc1c[nH]cn1)C(=O)N1CCC[C@@H]1C(=O)N[C@H](Cc1ccccc1)C(=O)O)NC(=O)[C@@H](Cc1ccc(O)cc1)NC(=O)[C@H]1C[C@H](CN1C(=O)[C@@H](CCCN=C(N)N)NC(=O)CNC)SS2","IC50","190","nM","Angiotensin II receptor (AT-1) type-1"
"CHEMBL443325","CNCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N1C[C@@H]2C[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O)CSSC[C@H](C(=O)N[C@H](Cc1c[nH]cn1)C(=O)N1CCC[C@@H]1C(=O)N[C@H](Cc1ccccc1)C(=O)O)NC(=O)[C@@H](Cc1ccc(O)cc1)NC(=O)[C@H]1C[C@H](CN1C(=O)[C@@H](CCCN=C(N)N)NC(=O)CNC)SS2","IC50","23","nM","Angiotensin II type 2 (AT-2) receptor"
"CHEMBL385063","CNCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H]1CC(=O)NCCC[C@@H](C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N2CCC[C@H]2C(=O)N[C@H](Cc2ccccc2)C(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O","IC50","683","nM","Angiotensin II receptor (AT-1) type-1"
"CHEMBL432162","Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nnn[nH]3)cc1)C(=O)CC2","IC50","5.199999809265","nM","Angiotensin II receptor (AT-1) type-1"
"CHEMBL540596","Cc1cccc(NC(=O)N[C@H]2N=C(N3CC4CCC(CC4)C3)c3ccccc3N(C)C2=O)c1.Cl","IC50","6.5","nM","Cholecystokinin A receptor"
"CHEMBL540596","Cc1cccc(NC(=O)N[C@H]2N=C(N3CC4CCC(CC4)C3)c3ccccc3N(C)C2=O)c1.Cl","IC50","26.75","nM","Cholecystokinin B receptor"
"CHEMBL166062","CCN1CCCC(N2C(=O)c3cccc4cc5ccccc5c(c34)C2=O)C1","IC50","1650","nM","Unchecked"
"CHEMBL166062","CCN1CCCC(N2C(=O)c3cccc4cc5ccccc5c(c34)C2=O)C1","IC50","1185","nM","OVCAR-3"
"CHEMBL166062","CCN1CCCC(N2C(=O)c3cccc4cc5ccccc5c(c34)C2=O)C1","IC50","635","nM","L1210"
"CHEMBL166062","CCN1CCCC(N2C(=O)c3cccc4cc5ccccc5c(c34)C2=O)C1","IC50","609","nM","L1210"
"CHEMBL166062","CCN1CCCC(N2C(=O)c3cccc4cc5ccccc5c(c34)C2=O)C1","IC50","8760","nM","NON-PROTEIN TARGET"
"CHEMBL163792","O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1c1cccnc1","IC50","2493","nM","Unchecked"
"CHEMBL163792","O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1c1cccnc1","IC50","1939","nM","OVCAR-3"
"CHEMBL163792","O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1c1cccnc1","IC50","544","nM","L1210"
"CHEMBL163792","O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1c1cccnc1","IC50","554","nM","L1210"
"CHEMBL163792","O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1c1cccnc1","IC50","25000","nM","NON-PROTEIN TARGET"
"CHEMBL556829","Cc1ccsc1C(=CCCN1CCC[C@H](C(=O)O)C1)c1sccc1C.Cl","IC50","218","nM","Unchecked"
"CHEMBL1203068","CCC(CC)CN1CCN(S(=O)(=O)CCCOc2ccc3[nH]c4nc(O)nc-4cc3c2)CC1.Cl","IC50","5.139999866486","nM","Phosphodiesterase 3"
